,chain,symbol,protocol_fees_collected,fees_to_vebal,fees_to_dao,total_bribes,aura_bribes,bal_bribes,reroute_bribes,pool_addr
0xade4a71bb62bec25154cfc7e6ff49a513b491e81000000000000000000000497,arbitrum,rETH-WETH-BPT,1296.63,852.38,365.31,1217.69,0,1217.69,0,0xade4a71bb62bec25154cfc7e6ff49a513b491e81
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,3195.83,2100.88,900.38,3001.25,1196.37,1804.88,0,0x9791d590788598535278552eecd4b211bfc790cb
0x4a2f6ae7f3e5d715689530873ec35593dc28951b000000000000000000000481,arbitrum,wstETH/rETH/cbETH,4503.33,2960.40,1268.74,4229.15,1685.84,2543.31,0,0x4a2f6ae7f3e5d715689530873ec35593dc28951b
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL-BPT,501.90,329.94,141.40,471.34,471.34,0,0,0x423a1323c871abc9d89eb06855bf5347048fc4a5
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,19543.49,12847.52,5506.08,18353.60,7316.17,11037.43,0,0x32df62dc3aed2cd6224193052ce665dc18165841
0x0c8972437a38b389ec83d1e666b69b8a4fcf8bfd00000000000000000000049e,arbitrum,wstETH/rETH/sfrxETH,0.03,0.02,0.01,0.03,0,0.03,0,0x0c8972437a38b389ec83d1e666b69b8a4fcf8bfd
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,3428.90,2254.09,966.04,3220.13,1283.62,1936.51,0,0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,3139.37,2153.74,923.03,3076.78,1226.48,1850.30,0,0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,1300.14,891.95,382.27,1274.22,507.93,766.29,0,0xc13546b97b9b1b15372368dc06529d7191081f5b
0x9fa6ab3d78984a69e712730a2227f20bcc8b5ad900000000000000000000001f,avalanche,yyAVAX-WAVAX-BPT,535.35,367.27,157.40,524.68,0,524.68,0,0x9fa6ab3d78984a69e712730a2227f20bcc8b5ad9
0xb26f0e66317846bd5fe0cbaa1d269f0efeb05c9600000000000000000000001e,avalanche,USDC-USDT-BPT,250.04,171.54,73.52,245.05,245.05,0,0,0xb26f0e66317846bd5fe0cbaa1d269f0efeb05c96
0x55bec22f8f6c69137ceaf284d9b441db1b9bfedc000200000000000000000011,avalanche,BPT,0.00,0.00,0.00,0.00,0,0.00,0,0x55bec22f8f6c69137ceaf284d9b441db1b9bfedc
0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6000000000000000000000026,base,cbETH/WETH,3225.47,1551.48,664.92,2216.40,883.51,1332.89,0,0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,525.12,252.59,108.25,360.84,0,360.84,0,0xc771c1a5905420daec317b154eb13e4198ba97d0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,505.35,243.08,104.18,347.25,347.25,0,0,0x0c659734f1eef9c63b7ebdf78a164cdd745586db
