,chain,aura_bribes,bal_bribes,pool_total,fees_taken
rETH-bb-a-WETH-BPT,arbitrum,65.57297437735583682268641088,107.1570256226441631773135891,345.46,172.730
B-wstETH-WETH-Stable,arbitrum,699.5197200048325868194472009,1143.130279995167413180552799,3685.30,1842.650
wstETH/rETH/cbETH,arbitrum,357.1701793438508209080090097,583.6748206561491790919909903,1881.69,940.845
bb-a-USD,arbitrum,159.0542287949554896820762983,259.9207712050445103179237017,837.95,418.975
RDNT-WETH,arbitrum,2253.264761347561215688939450,3682.205238652438784311060550,11870.94,5935.470
bbaUSDC/bbaUSDCe,arbitrum,37.86210038514203893655201291,61.87289961485796106344798709,199.47,99.735
B-rETH-STABLE,mainnet,3798.274585064961541395749974,6207.005414935038458604250026,20010.56,10005.280
swETH-bb-a-WETH-BPT,mainnet,638.3162525752181132910878936,1043.113747424781886708912106,3362.86,1681.430
cbETH-bb-a-WETH-BPT ,mainnet,3.369189762050790550578022906,5.505810237949209449421977094,17.75,8.875
wstETH-rETH-sfrxETH-BPT,mainnet,4437.241897971663272241118579,7251.183102028336727758881421,23376.85,11688.425
20WETH-80ALCX,mainnet,85.54894792993190428988816472,139.8010520700680957101118353,450.70,225.350
B-staFiETH-WETH-Stable,mainnet,315.8515749831062526235118815,516.1534250168937473764881185,1664.01,832.005
GHO/bb-a-USD,mainnet,81.01430323047312196575808206,132.3906967695268780342419179,426.81,213.405
ankrETH/wstETH,mainnet,1383.681629099945203867217341,2261.163370900054796132782659,7289.69,3644.845
50wstETH-50LDO,mainnet,49.92285066574526325112821434,81.58214933425473674887178566,263.01,131.505
50rETH-50BADGER,mainnet,811.6178832597247206478901862,1326.317116740275279352109814,4275.87,2137.935
50rETH-50RPL,mainnet,404.5400383307463301926428912,661.0849616692536698073571088,2131.25,1065.625
50STG-50bbaUSD,mainnet,1470.458670424833086459203523,2402.971329575166913540796477,7746.86,3873.430
wbETH-wstETH,mainnet,68.25124297130156384627265895,111.5337570286984361537273410,359.57,179.785
50wstETH-50ACX,mainnet,473.3018796378178448322144167,773.4531203621821551677855833,2493.51,1246.755
wstETH-bb-a-WETH-BPT,polygon,0E-31,0E-31,0.00,0.000
bb-am-usd,polygon,0.001898135077211712986241139666,0.003101864922788287013758860334,0.01,0.005
bb-t-USD,polygon,0E-31,0E-31,0.00,0.000
stMATIC-bb-a-WMATIC-BPT,polygon,122.4050367241517353437323736,200.0299632758482646562676264,644.87,322.435
MaticX-bb-a-WMATIC-BPT,polygon,246.5582558544154583477928369,402.9167441455845416522071631,1298.95,649.475
