recipientGaugeAddr,symbol,voteWeight,voteWeightNoBoost,distribution,%distribution,boost,staticBoost,dynamicBoost,protocolFee,cap,bonus
0xa14453084318277b11d38FbE05D857A4f647442B,4POOL-BPT,0.261087823964425,0.2598018030652907,11021.551295202598,13.776939119003249,1.0049500075979498,1.0,1.0049500075979496,542.5435796304948,10%,10000
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,RDNT-WETH,2.1075778547731674,1.3864168556970582,7000.0,8.75,1.520161736430654,1.5,1.0201617364306539,11792.567340000183,10%,0
0xcF853F14EF6111435Cb39c0C43C66366cc6300F1,50GOLD-25USDC-25WSTETH,6.0901895265563715,6.090174719347501,5600.0,7.000000000000001,1.0000024313274336,1.0,1.0000024313274338,6.246831689189074,8%,0
0x2eB5661002b68EBE887d29d415c3A3b52536912C,wstETH/rETH/cbETH,1.2316683122472778,0.7004819756224223,4819.115424577003,6.023894280721254,1.758315495773982,1.75,1.008315495773982,2457.376575111054,20%,0
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,DOLA/USDC BPT,1.1236591279715662,1.123511420142289,4396.510798994526,5.4956384987431575,1.0001314698067407,1.0,1.0001314698067407,62.314643945054286,10%,0
0xd6B875d62c2661eaB66472F36c672e4B512f1135,rETH-WETH-BPT,0.9274633489218373,0.5275540639383582,3628.8608597585912,4.536076074698239,1.7580441746539295,1.75,1.0080441746539295,1790.3381513159075,20%,0
0xD7a5122a4e88EC9fBE94301A0Bff6114ddFe5d4B,STAR/USDC-BPT ,0.7794925723737591,0.7794101364824735,3049.8995886446223,3.812374485805778,1.0001057670248654,1.0,1.0001057670248656,34.77786681260514,10%,0
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,55auraBal-45wsteth,0.7701211852394249,0.7678747858219347,3013.2324146663036,3.7665405183328797,1.0029254762091004,1.0,1.0029254762091004,947.7058903673628,10%,0
0xeF767E740D83d410794519c2F93Db32e44359a5C,50MAGIC-50USDC,0.6134922683924228,0.6094323939517211,2400.394671252284,3.000493339065355,1.0066617306217944,1.0,1.0066617306217944,1712.770619351195,10%,0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,ankrETH/wstETH-BPT,0.5839265073297711,0.3316925077292181,2284.713514434654,2.8558918930433173,1.7604452730251836,1.75,1.0104452730251838,1461.6455215053174,20%,0
0x260cbb867359a1084eC97de4157d06ca74e89415,wstETH-WETH-BPT,0.3668056595779851,0.2061908786612976,1435.1906226028802,1.7939882782536003,1.7789616202204739,1.75,1.028961620220474,2519.294309482446,20%,0
0x159be31493C26F8F924b3A2a7F428C2f41247e83,GOLD-BAL-AURA-wstETH,2.008027967932046,2.0080196539233977,1400.0,1.7500000000000002,1.0000041404020283,1.0,1.0000041404020283,3.5074951084279338,2%,0
0x972539E9d340a915775C004715f286a166F067Fd,80OVN/20wUSD+,0.2860601032834607,0.2860601032834607,1119.2596597489212,1.3990745746861515,1.0,1.0,1.0,0.0,10%,0
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,50tBTC-50WETH,0.24863813059916778,0.2473176908401842,972.83971536314,1.216049644203925,1.005339042890534,1.0,1.0053390428905338,557.0641301456749,10%,0
0xc3522B0A58d9f12f33E542FC3c3C051b4AF01c83,DUSD-4POOL-BPT,0.16585154861562085,0.1658319439324409,648.922886280326,0.8111536078504076,1.0001182201855388,1.0,1.0001182201855388,8.270779267368944,10%,0
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,2BTC,0.1357632543985738,0.1350201317014525,531.1972280663705,0.6639965350829631,1.0055037918253884,1.0,1.0055037918253882,313.50691771205356,10%,0
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,50DFX-50WETH,0.10784128956045264,0.10782634000639499,421.94770845311314,0.5274346355663915,1.0001386447324165,1.0,1.0001386447324168,6.30688395327434,10%,0
0x96056DF5a61B758005a219a052D72085C45df92c,80PAL-20OHM,0.0829159719662202,0.0829159719662202,324.4230897822949,0.4055288622278686,1.0,1.0,1.0,0.0,10%,0
