recipientGaugeAddr,symbol,voteWeight,voteWeightNoBoost,distribution,%distribution,boost,staticBoost,dynamicBoost,protocolFee,cap,bonus
0x2eB5661002b68EBE887d29d415c3A3b52536912C,wstETH/rETH/cbETH,1.1214134774413105,0.6392029932856478,9900.392771817946,14.143418245454209,1.754393344869979,1.75,1.0043933448699789,1167.6131522285223,20%,0
0xd6B875d62c2661eaB66472F36c672e4B512f1135,rETH-WETH-BPT,1.0810165321325285,0.6165853885752604,9543.748560397255,13.63392651485322,1.7532308617147514,1.75,1.0032308617147512,828.2786771847167,20%,0
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,55auraBal-45wsteth,1.058268446026502,1.0577015883778744,7000.0,10.0,1.0005359334379906,1.0,1.0005359334379906,235.68877181102016,10%,0
0xeF767E740D83d410794519c2F93Db32e44359a5C,50MAGIC-50USDC,0.876059245962677,0.8743137859918633,7000.0,10.0,1.0019963770430929,1.0,1.001996377043093,725.7294979831458,10%,0
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,DOLA/USDC BPT,1.0999834477881811,1.0996790440062711,7000.0,10.0,1.0002768114783755,1.0,1.0002768114783758,126.56537962702453,10%,0
0xD7a5122a4e88EC9fBE94301A0Bff6114ddFe5d4B,STAR/USDC-BPT ,0.6722458626908163,0.672241959763551,5934.918933785504,8.478455619693577,1.0000058058370334,1.0,1.0000058058370331,1.622763908763541,10%,0
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,RDNT-WETH,0.6217374289283283,0.3842758062841213,5489.0055016775395,7.841436430967913,1.61794580548908,1.5,1.11794580548908,18844.75195709284,10%,0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,ankrETH/wstETH-BPT,0.5563851433363417,0.316184945004508,4912.043204619229,7.017204578027469,1.759682591239153,1.75,1.009682591239153,1272.9099102829437,20%,0
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,50tBTC-50WETH,0.4397722644134799,0.4392662894295279,3882.5270388041063,5.54646719829158,1.001151863906081,1.0,1.001151863906081,210.37490245297158,10%,0
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,2BTC,0.12824485631878887,0.1276875850356947,1132.2090148393256,1.6174414497704652,1.0043643341123447,1.0,1.0043643341123445,231.70294093412667,10%,0
0x260cbb867359a1084eC97de4157d06ca74e89415,wstETH-WETH-BPT,0.12375952460412991,0.0677081410095266,1092.610288249793,1.5608718403568473,1.8278381706967384,1.75,1.0778381706967382,2191.2826149928637,20%,0
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,50DFX-50WETH,0.10494050076859152,0.10491637522321288,926.4666389161467,1.3235237698802096,1.0002299502372942,1.0,1.0002299502372942,10.030948992791691,10%,0
0xa14453084318277b11d38FbE05D857A4f647442B,4POOL-BPT,0.04504490429191201,0.0440061243103974,10397.678691963301,0.5681124170904297,1.0236053503414109,1.0,1.0236053503414109,431.90522103352976,10%,10000
