recipientGaugeAddr,symbol,voteWeight,distribution,%distribution,boost,staticBoost,dynamicBoost,cap,bonus
0x2eB5661002b68EBE887d29d415c3A3b52536912C,wstETH/rETH/cbETH,1.3891682237022471,12191.063642212528,15.23882955276566,1.759224080317253,1.75,1.0092240803172532,20%,0
0xd6B875d62c2661eaB66472F36c672e4B512f1135,rETH-WETH-BPT,1.108627377804741,9729.093055625246,12.161366319531558,1.7552102556320746,1.75,1.0052102556320748,20%,0
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,DOLA/USDC BPT,1.1049525775774782,8000.0,10.0,1.0009506462275475,1.0,1.0009506462275475,10%,0
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,RDNT-WETH,2.6363595080548055,8000.0,10.0,2.6348661470635175,1.5,2.1348661470635175,10%,0
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,55auraBal-45wsteth,0.8244306744379291,7235.039392046477,9.043799240058096,1.0064456053662987,1.0,1.006445605366299,10%,0
0x260cbb867359a1084eC97de4157d06ca74e89415,wstETH-WETH-BPT,0.6051550621292247,5310.720292869107,6.638400366086383,1.7832115907817814,1.75,1.0332115907817812,20%,0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,ankrETH/wstETH-BPT,0.4888547098049922,4290.0915651129835,5.3626144563912295,1.7637430893806654,1.75,1.0137430893806652,20%,0
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,50tBTC-50WETH,0.37504613609420484,3291.3301901659074,4.114162737707384,1.0114571903674774,1.0,1.0114571903674774,10%,0
0xa14453084318277b11d38FbE05D857A4f647442B,4POOL-BPT,0.28345184467475715,12487.516932055285,3.1093961650691075,1.009258118843963,1.0,1.0092581188439629,10%,10000
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,2BTC,0.19190302419267163,1684.1027178342347,2.1051283972927934,1.0304803483378895,1.0,1.0304803483378895,10%,0
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,50DFX-50WETH,0.09364268693552898,821.7895691684837,1.0272369614606047,1.0002719386267196,1.0,1.0002719386267196,10%,0
0xeF767E740D83d410794519c2F93Db32e44359a5C,50MAGIC-50USDC,0.014385349164714147,126.2429590529334,0.15780369881616674,895.6102238010325,1.0,895.6102238010325,10%,0
