,chain,aura_bribes,bal_bribes,pool_total,fees_taken
rETH-bb-a-WETH-BPT,arbitrum,226.5549840816203747886574223,385.9850159183796252113425777,1225.08,612.540
B-wstETH-WETH-Stable,arbitrum,911.5792299552121603860393049,1553.070770044787839613960695,4929.30,2464.650
wstETH/rETH/cbETH,arbitrum,0E-31,0E-31,0.00,0.000
bb-a-USD,arbitrum,606.0107263493867366763303838,1032.469273650613263323669616,3276.96,1638.480
RDNT-WETH,arbitrum,3165.935211442669637591549896,5393.849788557330362408450104,17119.57,8559.785
wstETH-bb-a-WETH-BPT,polygon,0E-31,0E-31,0.00,0.000
bbaUSDC/bbaUSDCe,arbitrum,58.69887476519665912566342803,100.0061252348033408743365720,317.41,158.705
B-rETH-STABLE,mainnet,5022.980385104943729379622226,8557.724614895056270620377774,27161.41,13580.705
swETH-bb-a-WETH-BPT,mainnet,1285.226296830348085100538490,2189.658703169651914899461510,6949.77,3474.885
cbETH-bb-a-WETH-BPT ,mainnet,0E-31,0E-31,0.00,0.000
wstETH-rETH-sfrxETH-BPT,mainnet,5422.456732212129738779800536,9238.318267787870261220199464,29321.55,14660.775
20WETH-80ALCX,mainnet,340.0691875042378515679483249,579.3808124957621484320516751,1838.90,919.450
B-staFiETH-WETH-Stable,mainnet,522.8066756441245178621200894,890.7133243558754821378799106,2827.04,1413.520
GHO/bb-a-USD,mainnet,567.6875234963206591406155916,967.1774765036793408593844084,3069.73,1534.865
ankrETH/wstETH,mainnet,1264.142340080466004804023297,2153.737659919533995195976703,6835.76,3417.880
50wstETH-50LDO,mainnet,94.16859588288267790359180299,160.4364041171173220964081970,509.21,254.605
50rETH-50BADGER,mainnet,2118.992207939424968525217408,3610.157792060575031474782592,11458.30,5729.150
50rETH-50RPL,mainnet,512.4468540747148683733841792,873.0631459252851316266158208,2771.02,1385.510
50STG-50bbaUSD,mainnet,3071.666752945587009478677169,5233.243247054412990521322831,16609.82,8304.910
wbETH-wstETH,mainnet,13.89384852748566522828862779,23.67115147251433477171137221,75.13,37.565
50wstETH-50ACX,mainnet,62.93378933034269577850263442,107.2212106696573042214973656,340.31,170.155
bb-am-usd,polygon,0E-31,0E-31,0.00,0.000
stMATIC-bb-a-WMATIC-BPT,polygon,0E-31,0E-31,0.00,0.000
MaticX-bb-a-WMATIC-BPT,polygon,482.5990282749519724883078512,822.2109717250480275116921488,2609.62,1304.810
