recipientGaugeAddr,poolAddress,symbol,feeCollected,feesCollectedPct,distribution,pctDistribution,boost,cap,bonus
0x2eB5661002b68EBE887d29d415c3A3b52536912C,0x4a2f6ae7f3e5d715689530873ec35593dc28951b,wstETH/rETH/cbETH,3100.692052876142,7.65%,41142.96,20.0,1.75,20%,0.0
0x260cbb867359a1084eC97de4157d06ca74e89415,0x9791d590788598535278552eecd4b211bfc790cb,wstETH-WETH-BPT,2756.6399494505913,6.8%,32981.62008752784,16.032691905262936,1.75,20%,0.0
0xd6B875d62c2661eaB66472F36c672e4B512f1135,0xade4a71bb62bec25154cfc7e6ff49a513b491e81,rETH-WETH-BPT,2128.379959669579,5.25%,22336.581776677824,10.858033440801451,1.75,20%,0.0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54,ankrETH/wstETH-BPT,2008.7115543060754,4.96%,22206.537900046915,10.794817825478242,1.75,20%,0.0
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,0x32df62dc3aed2cd6224193052ce665dc18165841,RDNT-WETH,24279.18809722003,59.92%,20571.48,10.0,1.5,10%,0.0
0xeF767E740D83d410794519c2F93Db32e44359a5C,0xb3028ca124b80cfe6e9ca57b70ef2f0ccc41ebd4,50MAGIC-50USDC,2350.5957967694885,5.8%,17400.620055271895,8.458613602556499,1.0,10%,0.0
0xa14453084318277b11d38FbE05D857A4f647442B,0x423a1323c871abc9d89eb06855bf5347048fc4a5,4POOL-BPT,614.0489120679595,1.52%,14957.646673643529,7.271060066482105,1.0,10%,11250.0
0x138E37c3885169DB38e046D5c814C0e95566566c,0xa1a8bf131571a2139feb79401aa4a2e9482df627,50wstETH/50-4Pool,296.15753016552605,0.73%,13127.948321049307,6.381625590890548,1.0,10%,11250.0
0xcF853F14EF6111435Cb39c0C43C66366cc6300F1,0x2e8ea681fd59c9dc5f32b29de31f782724ef4dcb,50GOLD-25USDC-25WSTETH,1396.1338734767182,3.45%,9885.063172952148,4.805227029339721,1.0,8%,0.0
0x159be31493C26F8F924b3A2a7F428C2f41247e83,0x49b2de7d214070893c038299a57bac5acb8b8a34,GOLD-BAL-AURA-wstETH,578.3744988200248,1.43%,4114.296,2.0000000000000004,1.0,2%,0.0
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,0xc7fa3a3527435720f0e2a4c1378335324dd4f9b3,55auraBal-45wsteth,428.8144601072336,1.06%,2950.9944173064723,1.4345075888105632,1.0,10%,0.0
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,0xc9f52540976385a84bf416903e1ca3983c539e34,50tBTC-50WETH,280.2974246499916,0.69%,1938.8831040285768,0.9425102637382322,1.0,10%,0.0
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,0x542f16da0efb162d20bf4358efa095b70a100f9e,2BTC,153.62899394655824,0.38%,1090.942984127512,0.5303181803776452,1.0,10%,0.0
0xD7a5122a4e88EC9fBE94301A0Bff6114ddFe5d4B,0xead7e0163e3b33bf0065c9325fc8fb9b18cc8213,STAR/USDC-BPT ,53.922053429658064,0.13%,371.3835796826447,0.18053323323486922,1.0,10%,0.0
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,0x8bc65eed474d1a00555825c91feab6a8255c2107,DOLA/USDC BPT,38.68143089822854,0.1%,267.7349026176039,0.13014858562320453,1.0,10%,0.0
0x972539E9d340a915775C004715f286a166F067Fd,0x85ec6ae01624ae0d2a04d0ffaad3a25884c7d0f3,80OVN/20wUSD+,28.325391493335218,0.07%,200.64396603923174,0.09753501743152741,1.0,10%,0.0
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,0xa231aea07bb5e79ae162f95903806fc5ad65ff11,50DFX-50WETH,11.328230658865479,0.03%,83.87530830264741,0.040772617382243484,1.0,10%,0.0
0xc3522B0A58d9f12f33E542FC3c3C051b4AF01c83,0x3cdf30e36154a66a4478e15ed41659b5bb0738f1,DUSD-4POOL-BPT,12.859528181634616,0.03%,74.00019307406072,0.03597222614710304,1.0,10%,0.0
0x089a2E069700B0f2B16f69A6e02b01818ce22e7d,0x835772bab114563746da80806930a9e37aa85344,D2D-rETH,1.6751287788733136,0.0%,11.587557651752496,0.005632826443091356,1.0,10%,0.0
