recipientGaugeAddr,symbol,voteWeight,voteWeightNoBoost,distribution,%distribution,boost,staticBoost,dynamicBoost,cap,bonus
0x2eB5661002b68EBE887d29d415c3A3b52536912C,wstETH/rETH/cbETH,1.1215517292168882,0.6392029932856478,18769.29672912695,12.512864486084633,1.754609632617424,1.75,1.004609632617424,20%,0.0
0xd6B875d62c2661eaB66472F36c672e4B512f1135,rETH-WETH-BPT,1.0811146048525688,0.6165853885752604,18414.486442427507,12.27632429495167,1.7533899195222467,1.75,1.0033899195222467,20%,0.0
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,55auraBal-45wsteth,1.0582963528645883,1.0577015883778744,15000.0,10.0,1.0005623178533996,1.0,1.0005623178533996,10%,0.0
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,DOLA/USDC BPT,1.099998433820521,1.0996790440062711,15000.0,10.0,1.0002904391203877,1.0,1.000290439120388,10%,0.0
0xeF767E740D83d410794519c2F93Db32e44359a5C,50MAGIC-50USDC,0.8761451762997018,0.8743137859918633,14765.98587469789,9.843990583131927,1.0020946602205991,1.0,1.0020946602205991,10%,0.0
0xa14453084318277b11d38FbE05D857A4f647442B,4POOL-BPT,0.045096044229463506,0.0440061243103974,12019.26214163692,8.012841427757946,1.0247674598966805,1.0,1.0247674598966803,10%,11250.0
0xD7a5122a4e88EC9fBE94301A0Bff6114ddFe5d4B,STAR/USDC-BPT ,0.6722460548349274,0.672241959763551,11634.434235255963,7.7562894901706425,1.000006091662856,1.0,1.0000060916628561,10%,0.0
0x138E37c3885169DB38e046D5c814C0e95566566c,wstETH-4POOL,0.0,0.0,11250.0,7.5,1.0,1.0,1.0,10%,11250.0
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,RDNT-WETH,0.6239687505038185,0.3842758062841213,10362.076538735395,6.908051025823597,1.62375236822085,1.5,1.1237523682208501,10%,0.0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,ankrETH/wstETH-BPT,0.5565358628232809,0.316184945004508,9551.985893654182,6.367990595769454,1.7601592726540036,1.75,1.0101592726540036,20%,0.0
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,50tBTC-50WETH,0.43979717395115137,0.4392662894295279,7273.636683762,4.849091122508,1.0012085710522265,1.0,1.0012085710522265,10%,0.0
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,2BTC,0.1282722912127258,0.1276875850356947,2122.799861733941,1.4151999078226274,1.0045791936378752,1.0,1.0045791936378754,10%,0.0
0x260cbb867359a1084eC97de4157d06ca74e89415,wstETH-WETH-BPT,0.12401898443612785,0.0677081410095266,2046.7147794497794,1.3644765196331863,1.8316702037156545,1.75,1.0816702037156545,20%,0.0
0x04fc019017eD3F921D5ec11fFf84B870744BA0d1,50DFX-50WETH,0.10494168848774862,0.10491637522321288,1789.3208195194754,1.192880546346317,1.000241270864361,1.0,1.0002412708643609,10%,0.0
